game,year,month,month_idx,draw_nr,numbers
on-numara,2021,Ocak,1,6,"[1, 3, 15, 18, 19, 23, 24, 27, 28, 29, 34, 37, 38, 41, 42, 45, 58, 62, 65, 71, 72, 80]"
on-numara,2021,Ocak,1,5,"[1, 2, 6, 8, 11, 13, 17, 18, 22, 24, 28, 32, 38, 50, 60, 63, 66, 68, 73, 74, 77, 80]"
on-numara,2021,Ocak,1,4,"[6, 7, 14, 16, 17, 19, 26, 33, 36, 37, 38, 39, 42, 46, 51, 52, 57, 61, 62, 67, 73, 78]"
on-numara,2021,Ocak,1,3,"[1, 10, 23, 24, 25, 31, 35, 37, 40, 43, 45, 53, 56, 59, 65, 68, 74, 75, 76, 77, 78, 80]"
on-numara,2021,Ocak,1,2,"[1, 4, 6, 8, 11, 13, 15, 17, 29, 31, 34, 35, 43, 47, 51, 52, 55, 59, 65, 70, 71, 72]"
on-numara,2021,Ocak,1,1,"[1, 5, 19, 20, 24, 28, 29, 37, 38, 39, 41, 53, 57, 58, 60, 62, 64, 66, 70, 75, 79, 80]"
on-numara,2021,Şubat,2,17,"[1, 5, 16, 30, 32, 37, 38, 39, 42, 44, 49, 50, 53, 62, 67, 68, 70, 71, 74, 77, 79, 80]"
on-numara,2021,Şubat,2,16,"[8, 9, 15, 18, 19, 25, 26, 31, 35, 39, 41, 46, 47, 56, 59, 60, 62, 67, 70, 75, 79, 80]"
on-numara,2021,Şubat,2,15,"[3, 4, 5, 14, 22, 25, 26, 30, 34, 37, 44, 46, 55, 56, 61, 62, 64, 69, 74, 77, 79, 80]"
on-numara,2021,Şubat,2,14,"[7, 14, 18, 23, 27, 29, 31, 34, 35, 37, 40, 43, 46, 48, 50, 51, 52, 60, 61, 65, 69, 79]"
on-numara,2021,Şubat,2,13,"[1, 2, 3, 5, 6, 7, 18, 20, 22, 23, 24, 36, 37, 46, 48, 52, 60, 69, 71, 75, 76, 79]"
on-numara,2021,Şubat,2,12,"[5, 7, 8, 12, 15, 18, 20, 21, 22, 25, 28, 31, 42, 45, 49, 55, 58, 65, 68, 72, 77, 78]"
on-numara,2021,Şubat,2,11,"[7, 8, 11, 20, 25, 26, 29, 33, 36, 38, 40, 41, 45, 47, 52, 55, 57, 59, 60, 64, 73, 74]"
on-numara,2021,Şubat,2,10,"[1, 5, 9, 19, 24, 41, 42, 44, 45, 46, 47, 48, 50, 51, 52, 55, 56, 59, 64, 71, 75, 77]"
on-numara,2021,Mart,3,26,"[4, 5, 6, 7, 10, 14, 15, 19, 20, 29, 30, 41, 43, 47, 51, 53, 54, 62, 65, 66, 71, 76]"
on-numara,2021,Mart,3,25,"[3, 6, 9, 14, 17, 24, 29, 31, 38, 44, 48, 52, 53, 57, 60, 61, 64, 66, 70, 73, 75, 79]"
on-numara,2021,Mart,3,24,"[4, 6, 7, 11, 15, 16, 19, 29, 38, 42, 44, 47, 50, 53, 54, 57, 59, 60, 65, 75, 76, 79]"
on-numara,2021,Mart,3,23,"[6, 7, 16, 17, 18, 28, 32, 36, 37, 39, 40, 44, 47, 51, 52, 57, 62, 63, 66, 72, 73, 77]"
on-numara,2021,Mart,3,22,"[3, 4, 7, 9, 10, 11, 12, 16, 27, 35, 41, 46, 47, 51, 55, 56, 57, 67, 68, 73, 75, 76]"
on-numara,2021,Mart,3,21,"[2, 3, 5, 16, 17, 21, 22, 23, 25, 29, 30, 32, 35, 38, 42, 44, 56, 58, 62, 69, 73, 77]"
on-numara,2021,Mart,3,20,"[8, 14, 23, 24, 25, 28, 37, 43, 44, 46, 47, 50, 52, 59, 60, 67, 68, 72, 73, 76, 77, 78]"
on-numara,2021,Mart,3,19,"[4, 16, 17, 22, 28, 29, 32, 37, 39, 42, 43, 46, 48, 50, 52, 55, 60, 62, 63, 71, 77, 79]"
on-numara,2021,Mart,3,18,"[4, 6, 7, 11, 16, 17, 20, 25, 26, 28, 31, 33, 35, 37, 40, 43, 50, 55, 64, 73, 74, 75]"
on-numara,2021,Nisan,4,35,"[1, 5, 9, 19, 22, 25, 27, 34, 37, 43, 46, 48, 52, 53, 55, 56, 58, 67, 69, 74, 76, 79]"
on-numara,2021,Nisan,4,34,"[3, 5, 12, 16, 17, 27, 29, 31, 36, 40, 46, 47, 51, 53, 57, 60, 63, 68, 71, 77, 78, 79]"
on-numara,2021,Nisan,4,33,"[2, 6, 11, 12, 14, 15, 16, 18, 22, 26, 30, 31, 41, 48, 52, 57, 65, 67, 68, 75, 76, 79]"
on-numara,2021,Nisan,4,32,"[1, 2, 5, 14, 20, 21, 27, 34, 35, 40, 41, 46, 50, 51, 53, 54, 55, 59, 69, 70, 71, 80]"
on-numara,2021,Nisan,4,31,"[2, 4, 6, 9, 11, 14, 15, 17, 29, 33, 35, 38, 42, 49, 53, 54, 62, 65, 66, 69, 73, 74]"
on-numara,2021,Nisan,4,30,"[1, 7, 8, 14, 15, 18, 25, 27, 29, 31, 35, 41, 42, 45, 48, 49, 53, 62, 71, 73, 75, 79]"
on-numara,2021,Nisan,4,29,"[2, 5, 6, 7, 8, 15, 26, 28, 29, 36, 37, 38, 43, 45, 51, 52, 53, 54, 55, 57, 67, 71]"
